image;X;Y;issues
spotassay_170_00.jpg;83;156;False
spotassay_170_01.jpg;54;123;False
spotassay_170_02.jpg;66;78;False
spotassay_170_03.jpg;31;61;False
spotassay_171_00.jpg;39;137;False
spotassay_171_01.jpg;57;111;False
spotassay_171_02.jpg;60;85;False
spotassay_171_03.jpg;44;47;False
spotassay_172_00.jpg;59;173;False
spotassay_172_01.jpg;54;159;False
spotassay_172_02.jpg;46;99;False
spotassay_172_03.jpg;47;196;False
spotassay_173_00.jpg;50;146;False
spotassay_173_01.jpg;71;89;False
spotassay_173_02.jpg;33;212;False
spotassay_173_03.jpg;43;211;False
spotassay_174_00.jpg;56;100;False
spotassay_174_01.jpg;32;119;False
spotassay_174_02.jpg;54;90;False
spotassay_174_03.jpg;20;150;False
spotassay_175_00.jpg;23;90;False
spotassay_175_01.jpg;55;66;False
spotassay_175_02.jpg;21;49;False
spotassay_175_03.jpg;58;194;False
spotassay_176_00.jpg;42;144;False
spotassay_176_01.jpg;62;97;False
spotassay_176_02.jpg;34;147;False
spotassay_176_03.jpg;54;213;False
spotassay_177_00.jpg;62;92;False
spotassay_177_01.jpg;60;73;False
spotassay_177_02.jpg;52;138;False
spotassay_177_03.jpg;60;158;False
spotassay_178_00.jpg;37;177;False
spotassay_178_01.jpg;60;100;False
spotassay_178_02.jpg;39;143;False
spotassay_178_03.jpg;61;207;False
spotassay_179_00.jpg;72;145;False
spotassay_179_01.jpg;37;77;False
spotassay_179_02.jpg;76;123;False
spotassay_179_03.jpg;63;137;False
spotassay_17a.png;92;240;False
spotassay_17b.png;84;299;False
spotassay_17c.png;89;289;False
spotassay_17d.png;75;211;False
spotassay_180_00.jpg;62;128;False
spotassay_180_01.jpg;62;77;False
spotassay_180_02.jpg;68;150;False
spotassay_180_03.jpg;71;207;False
spotassay_181_00.jpg;60;83;False
spotassay_181_01.jpg;52;58;False
spotassay_181_02.jpg;46;154;False
spotassay_181_03.jpg;59;198;False
spotassay_182_00.jpg;42;36;False
spotassay_182_01.jpg;61;63;False
spotassay_182_02.jpg;49;147;False
spotassay_182_03.jpg;63;177;False
spotassay_183_00.jpg;60;109;False
spotassay_183_01.jpg;49;139;False
spotassay_183_02.jpg;68;176;False
spotassay_183_03.jpg;41;178;False
spotassay_184_00.jpg;40;98;False
spotassay_184_01.jpg;54;88;False
spotassay_184_02.jpg;35;156;False
spotassay_184_03.jpg;63;131;False
spotassay_185_00.jpg;64;129;False
spotassay_185_01.jpg;66;94;False
spotassay_185_02.jpg;50;175;False
spotassay_185_03.jpg;41;170;False
spotassay_186_00.jpg;64;149;False
spotassay_186_01.jpg;74;157;False
spotassay_186_02.jpg;58;170;False
spotassay_186_03.jpg;66;147;False
spotassay_187_00.jpg;61;84;False
spotassay_187_01.jpg;55;136;False
spotassay_187_02.jpg;53;153;False
spotassay_187_03.jpg;73;170;False
spotassay_188_00.jpg;51;151;False
spotassay_188_01.jpg;53;70;False
spotassay_188_02.jpg;21;187;False
spotassay_188_03.jpg;22;131;False
spotassay_189_00.jpg;38;85;False
spotassay_189_01.jpg;69;83;False
spotassay_189_02.jpg;11;167;False
spotassay_189_03.jpg;36;167;False
spotassay_18a.png;80;296;False
spotassay_18b.png;78;255;False
spotassay_18c.png;83;274;False
spotassay_18d.png;73;206;False
spotassay_190_00.jpg;56;117;False
spotassay_190_01.jpg;60;90;False
spotassay_190_02.jpg;36;177;False
spotassay_190_03.jpg;51;148;False
spotassay_191_00.jpg;49;118;False
spotassay_191_01.jpg;55;65;False
spotassay_191_02.jpg;51;226;False
spotassay_191_03.jpg;60;198;False
spotassay_192_00.jpg;46;136;False
spotassay_192_01.jpg;56;79;False
spotassay_192_02.jpg;44;177;False
spotassay_192_03.jpg;50;113;False
spotassay_193_00.jpg;40;84;False
spotassay_193_01.jpg;61;104;False
spotassay_193_02.jpg;70;117;False
spotassay_193_03.jpg;29;142;False
spotassay_194_00.jpg;31;118;False
spotassay_194_01.jpg;59;88;False
spotassay_194_02.jpg;53;166;False
spotassay_194_03.jpg;35;173;False
spotassay_195_00.jpg;45;134;False
spotassay_195_01.jpg;58;61;False
spotassay_195_02.jpg;51;181;False
spotassay_195_03.jpg;65;163;False
spotassay_196_00.jpg;71;99;False
spotassay_196_01.jpg;94;69;False
spotassay_196_02.jpg;41;227;False
spotassay_196_03.jpg;51;151;False
spotassay_197_00.jpg;63;107;False
spotassay_197_01.jpg;49;85;False
spotassay_197_02.jpg;20;182;False
